# http://github.com/geohex/geohex-docs/wiki/test-case
#      lat,        lng,            level, hex code
46.33987845643758,150.54671645164493,0,aac
70.91330233642479,53.51546645164493,0,aaa
84.97869398560798,105.67707717418675,0,aac
35.70700681304268,139.61531996726993,1,bca
44.111810494466525,149.31624770164493,1,bdc
85.02844922093016,164.16828811168673,1,bcg
24.754121668400433,119.72169756889346,2,ced
24.354410274011993,104.86818194389348,2,ccd
85.03225611494257,151.55598342418673,2,cke
30.607003491125287,131.25734210014346,3,dif
36.37468580540787,127.19240069389346,3,did
85.04555735974324,137.44953811168673,3,dui
36.29946096764077,138.81044268608096,4,esh
32.72010957231298,129.89503741264346,4,eqh
85.04555735974324,143.67878615856173,4,eEo
35.69951418797957,139.66737627983096,5,faaAp
35.60577953832919,138.20619463920596,5,faaAn
85.04081099828718,139.40510451793673,5,fbau4
34.9341472331226,139.72711443901065,6,gbam3
34.972416816916514,140.20501971244815,6,gbao1
85.05029918984887,139.81434524059298,6,gcbEa
35.26896008662791,139.4442164897919,7,hca0R
34.94315344843914,139.6584498882294,7,hcayT
85.0507731238005,140.05055129528048,7,hfcwc
35.60741944453169,139.6859157085419,8,iebQL
35.610210696940385,139.6536433696747,8,iebQJ
85.05077312380043,140.73101699352267,8,ikeIe
35.66768882555107,139.70299601554873,9,jjdK3
35.64872003376868,139.71681475639346,9,jjdK5
85.0509508373618,140.48142135143283,9,jvi0i
35.65527103088771,139.77500025182965,10,ktg6X
35.61566371630747,139.7776583209634,10,kth4b
85.05101007380108,140.60501754283908,10,kGqSo
35.69864372363962,139.77523762732747,11,laaDneV
35.65763101268712,139.77589745074513,11,laaDneX
85.05105450066642,140.54407775402072,11,lbaz6K2
35.67820073627325,139.75232083350423,12,mbas1iR
35.67835760778238,139.73069150000813,12,mbas1gR
85.05107671394983,140.57334601879123,12,mcbPe8U
35.68627921796676,139.76552803069356,13,ncaATqL
35.67750352583504,139.7607644274831,13,ncaAToN
85.05110262932153,140.56622207164767,13,nfcHjgQ
35.68619343741533,139.7593737021089,14,ofbmP47
#35.68139720473658,139.76348888129,14,ofbmP47
85.05111928913183,140.56405484676364,14,ole0tmI
35.68527135874425,139.76548880338672,15,pkdzHcf
#35.68624381648039,139.76554077118638,15,pkdzHcf
85.05112761901597,140.5623731017113,15,pwiQDy2
85.05109013442717,133.12694907188418,16,qIsXeGc
35.681842744743136,139.76732611656192,16,quhO0en
35.68282749915992,139.76625323295596,16,quhO0el
35.68409110427994,139.7671437263489,17,raaFoEQkv
35.6840649609285,139.76736903190616,17,raaFoEQkx
85.0511021665482,140.56369543075564,17,rba583BCM
35.68647011340192,139.76609230041507,18,sbax3uIy9
35.68590368909328,139.76628541946414,18,sbax3uIyB
85.05112345407566,140.56215047836307,18,sdbcjXpoC
35.685276260549045,139.7660601139069,19,tcaKXE3Gp
35.68529804634508,139.76631760597232,19,tcaKXE3Ip
85.05111882636005,140.56228995323184,19,tgcfsW54q
35.68526645693892,139.76650804281238,20,ufb7WvW25
35.68528279628852,139.76659923791888,20,ufb7WvW27
85.05112437961826,140.56146383285525,20,umelBUcUA
35.68529804634514,139.76679503917697,21,vldgVGVWf
35.68527081409915,139.7668191790581,21,vldgVGVWh
85.05112623070293,140.56127071380618,21,vyjxoRfOq
35.68526972480909,139.7669251263142,22,wwhnTzSWn
35.68526672926147,139.7669264674187,22,wwhnTzSWp
85.05112785040144,140.56116878986361,22,wMsL2LkE8
35.68526672926147,139.76697977632287,23,xaaIp0PPMW3
35.68526754622903,139.76698413491252,23,xaaIp0PPMW5
85.05112761901597,140.56133776903155,23,xbaBA9U9v2c
35.6852672739065,139.76700693368915,24,yba25RHHBWb
35.685263733713704,139.76701196283105,24,yba25RHHBWd
85.05112831317236,140.56136995553973,24,ydbpnlQkGWa
