aaa,0,0,0
aac,71.48066686818822,-180,0
bca,46.02483798032527,90,1
bcg,86.95488096736008,-180,1
bdc,0,-180,1
ccd,0,90,2
ced,25.133615388098796,135,2
cke,85.20946326237187,135,2
did,36.2729764558147,112.5,3
dif,25.133615388098796,135,3
dui,85.20946326237187,135,3
eEo,84.635212608419,146.25000000000003,4
eqh,30.864824998518355,123.75,4
esh,36.2729764558147,135,4
faaAn,36.2729764558147,135,5
faaAp,33.61129547297482,140.62499999999997,5
fbau4,84.93044120859555,140.62499999999997,5
gbam3,33.61129547297482,140.62499999999997,6
gbao1,36.2729764558147,140.625,6
gcbEa,84.93044120859555,140.62499999999997,6
hca0R,35.61568052680066,139.21875,7
hcayT,34.28479411735985,139.21875,7
hfcwc,85.07192170784865,140.62500000000003,7
iebQJ,35.61568052680066,139.21875,8
iebQL,35.28498751843122,139.92187500000003,8
ikeIe,85.07192170784865,140.62500000000003,8
jjdK3,35.780516755235475,139.5703125,9
jjdK5,35.61568052680066,139.92187499999997,9
jvi0i,85.0544543222651,140.27343749999997,9
kGqSo,85.0544543222651,140.625,10
ktg6X,35.69814123356667,139.74609375,10
kth4b,35.53313471782651,139.74609375,10
laaDneV,35.69814123356667,139.74609375,11
laaDneX,35.656921523158786,139.83398437500003,11
lbaz6K2,85.05007783461816,140.53710937500003,11
mbas1gR,35.67753403975369,139.7021484375,12
mbas1iR,35.69814123356667,139.74609375,12
mcbPe8U,85.05226656113763,140.58105468750003,12
ncaAToN,35.66722844672321,139.76806640625,13
ncaATqL,35.68783830208864,139.76806640624997,13
nfcHjgQ,85.05117231857831,140.55908203124997,13
ofbmP47,35.68268633726821,139.75708007812497,14
ole0tmI,85.05117231857831,140.55908203124997,14
pkdzHcf,35.685262361266446,139.76257324218747,15
pwiQDy2,85.05117231857831,140.55908203124997,15
qIsXeGc,85.05117231857831,133.12683105468747,16
quhO0el,35.68397435966418,139.76531982421878,16
quhO0en,35.68268633726821,139.76806640625,16
raaFoEQkv,35.68461836306452,139.76669311523435,17
raaFoEQkx,35.683974359664155,139.76806640624997,17
rba583BCM,85.05110392040363,140.56320190429685,17
sbax3uIy9,35.686228348822105,139.76600646972653,18
sbax3uIyB,35.68590635426986,139.76669311523435,18
sdbcjXpoC,85.05110392040363,140.56182861328122,18
tcaKXE3Gp,35.685262361266446,139.76600646972653,19
tcaKXE3Ip,35.685423360004656,139.76634979248044,19
tgcfsW54q,85.05112102003572,140.56217193603513,19
ufb7WvW25,35.68534286067616,139.76652145385742,20
ufb7WvW27,35.685262361266446,139.76669311523435,20
umelBUcUA,85.05112102003572,140.56148529052732,20
vldgVGVWf,35.685302610981445,139.76677894592285,21
vldgVGVWh,35.685262361266446,139.76686477661136,21
vyjxoRfOq,85.05112529493451,140.56122779846189,21
wMsL2LkE8,85.05112743238254,140.56118488311768,22
wwhnTzSWn,35.685282486126475,139.76690769195557,22
wwhnTzSWp,35.685262361266446,139.76695060729983,22
xaaIp0PPMW3,35.68527242369711,139.7669720649719,23
xaaIp0PPMW5,35.685262361266446,139.76699352264404,23
xbaBA9U9v2c,85.05112850110622,140.56133508682245,23
yba25RHHBWb,35.68526739248193,139.76700425148007,24
yba25RHHBWd,35.685262361266446,139.7670149803162,24
ydbpnlQkGWa,85.0511279667444,140.56136727333066,24
